Company Name,Company Ticker,Date,Date Type,Time,Type,Period,Domestic Call Num,Domestic Call Pin,Domestic Replay Num,Domestic Replay Pin,International Call Num,International Call Pin,International Replay Num,International Replay Pin,Actual,Actual Source,Estimate,Surprise,Guidance,Event Description,WebUrl,WebUrl Pin,Presentation,Presentation Pin,Press Release Url,Press Release Pin,City,State,Country
Facebook Inc,FB US,7/29/2015,C,Aft-mkt,ER,Q2 2015,,,(855) 859-2056,69328687,,,(404) 537-3406,69328687,,,0.468,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/r62axc3n,,,,,,,,
Qorvo Inc,QRVO US,7/29/2015,C,Aft-mkt,ER,Q1 2016,,,,,,,,,,,1.036,,1.05,Q1 2016 Earnings Release,,,,,,,,,
Anadarko Petroleum Corp,APC US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,-0.62,,,Q2 2015 Earnings Release,,,,,,,,,
AGL Resources Inc,GAS US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.423,,,Q2 2015 Earnings Release,,,,,,,,,
Baxter International Inc,BAX US,7/29/2015,C,,ER,Q2 2015,,,,,,,,,,,0.947,,0.94,Q2 2015 Earnings Release,,,,,,,,,
Dominion Resources Inc/VA,D US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.747,,0.7,Q2 2015 Earnings Release,,,,,,,,,
NextEra Energy Inc,NEE US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,1.473,,,Q2 2015 Earnings Release,,,,,,,,,
Harris Corp,HRS US,7/29/2015,E,,ER,Q4 2015,,,,,,,,,,,1.22,,,Q4 2015 Earnings Release,,,,,,,,,
International Paper Co,IP US,7/29/2015,C,,ER,Q2 2015,,,,,,,,,,,0.935,,,Q2 2015 Earnings Release,,,,,,,,,
McGraw Hill Financial Inc,MHFI US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,1.135,,,Q2 2015 Earnings Release,,,,,,,,,
Murphy Oil Corp,MUR US,7/29/2015,C,,ER,Q2 2015,888-296-4174,5679022,888-203-1112,5679022,,,,,,,-0.58,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/dxxkueub/lan/en,,,,,,,,
PG&E Corp,PCG US,7/29/2015,C,,ER,Q2 2015,,,(866) 415-9493,24191#,,,(205) 289-3247,24191#,,,0.716,,,Q2 2015 Earnings Release,https://event.on24.com/eventRegistration/EventLobbyServlet?target=registration.jsp&eventid=1020759&sessionid=1&key=52F6A768666997E4AA4E1B89F77A5B5E&sourcepage=register,,,,,,,,
Cincinnati Financial Corp,CINF US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.437,,,Q2 2015 Earnings Release,,,,,,,,,
Express Scripts Holding Co,ESRX US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,1.4,,1.41,Q2 2015 Earnings Release,,,,,,,,,
Noble Corp plc,NE US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.504,,,Q2 2015 Earnings Release,,,,,,,,,
Vertex Pharmaceuticals Inc,VRTX US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,-0.787,,,Q2 2015 Earnings Release,,,,,,,,,
Martin Marietta Materials Inc,MLM US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,1.709,,,Q2 2015 Earnings Release,,,,,,,,,
Level 3 Communications Inc,LVLT US,7/29/2015,C,,ER,Q2 2015,877-283-5145,,800-633-8284,21771187,1 312-281-1200,,402-977-9140,21771187,,,0.283,,,Q2 2015 Earnings Release,http://investors.level3.com/investor-relations/default.aspx,,,,,,,,
Affiliated Managers Group Inc,AMG US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,3.037,,,Q2 2015 Earnings Release,,,,,,,,,
Boston Properties Inc,BXP US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,1.338,,1.33,Q2 2015 Earnings Release,,,,,,,,,
Reynolds American Inc,RAI US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.972,,,Q2 2015 Earnings Release,,,,,,,,,
Anthem Inc,ANTM US,7/29/2015,C,,ER,Q2 2015,,,,,,,,,,,2.713,,,Q2 2015 Earnings Release,,,,,,,,,
CBRE Group Inc,CBG US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.423,,,Q2 2015 Earnings Release,,,,,,,,,
MasterCard Inc,MA US,7/29/2015,C,,ER,Q2 2015,866-393-4306,66650115,855-859-2056,66650115,734-385-2616,66650115,404-537-3406,66650115,,,0.857,,,Q2 2015 Earnings Release,https://event.on24.com/eventRegistration/EventLobbyServlet?target=registration.jsp&eventid=1011208&sessionid=1&key=AF1C766EDB3322C2CFF04E3E8C952AE8&sourcepage=register,,,,,,,,
Fidelity National Information Services Inc,FIS US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.711,,,Q2 2015 Earnings Release,,,,,,,,,
Wynn Resorts Ltd,WYNN US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,1.143,,,Q2 2015 Earnings Release,,,,,,,,,
Genworth Financial Inc,GNW US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.267,,,Q2 2015 Earnings Release,,,,,,,,,
Nielsen NV,NLSN US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.64,,,Q2 2015 Earnings Release,,,,,,,,,
HCA Holdings Inc,HCA US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,1.323,,,Q2 2015 Earnings Release,,,,,,,,,
Xylem Inc/NY,XYL US,7/29/2015,E,,ER,Q2 2015,,,,,,,,,,,0.429,,,Q2 2015 Earnings Release,,,,,,,,,
Automatic Data Processing Inc,ADP US,7/30/2015,C,Bef-mkt,ER,Q4 2015,855-469-0570,69710396,,,678-865-8998,69710396,,,,,0.593,,,Q4 2015 Earnings Release,http://edge.media-server.com/m/p/yswcju3b/,,,,,,,,
Ball Corp,BLL US,7/30/2015,C,Bef-mkt,ER,Q2 2015,800-354-6885,,800-633-8284,21771157,303-223-2685,,402-977-9140,21771157,,,0.952,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/fv8rouxe/lan/en,,,,,,,,
Coca-Cola Enterprises Inc,CCE US,7/30/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.751,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/qxphks2v/lan/en,,,,,,,,
Starwood Hotels & Resorts Worldwide Inc,HOT US,7/30/2015,C,Bef-mkt,ER,Q2 2015,(866) 921-0636,69941686,(855) 859-2056,69941686,(706) 758-8764,69941686,(404) 537-3406,69941686,,,0.74,,0.72,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/awdrautn,,,,,,,,
Host Hotels & Resorts Inc,HST US,7/30/2015,C,Bef-mkt,ER,Q2 2015,(719) 325-2278,,(888) 203-1112,6231211,(719) 325-2278,,,,,,0.453,,,Q2 2015 Earnings Release,http://ir.hosthotels.com/phoenix.zhtml?c=60734&p=irol-irhome,,,,,,,,
Pinnacle West Capital Corp,PNW US,7/30/2015,C,Bef-mkt,ER,Q2 2015,(877) 407-8035,,(877) 660-6853,13612909,(201) 689-8035,,(201) 612-7415,13612909,,,1.248,,,Q2 2015 Earnings Release,http://www.pinnaclewest.com/investors/events-and-presentations/default.aspx,,,,,,,,
Pitney Bowes Inc,PBI US,7/30/2015,C,Bef-mkt,ER,Q2 2015,(612) 288-0337,,(320) 365-3844,363198,(612) 288-0337,,(320) 365-3844,363198,,,0.453,,,Q2 2015 Earnings Release,http://www.pb.com/investorrelations,,,,,,,,
Procter & Gamble Co/The,PG US,7/30/2015,C,Bef-mkt,ER,Q4 2015,877-741-4248,6097936,,,719-325-4810,6097936,,,,,0.949,,,Q4 2015 Earnings Release,http://78449.choruscall.com/dataconf/productusers/pg2/mediaframe/12148/indexr.html,,,,,,,,
SCANA Corp,SCG US,7/30/2015,C,Bef-mkt,ER,Q2 2015,888-347-3258,,877-344-7529,10067113,412-902-4279,,412-317-0088,10067113,,,0.614,,,Q2 2015 Earnings Release,https://www.scana.com/investors,,,,,,,,
Stanley Black & Decker Inc,SWK US,7/30/2015,C,Bef-mkt,ER,Q2 2015,(877) 930-8285,77039075,(855) 859-2056,77039075,(253) 336-8297,77039075,(404) 537-3406,77039075,,,1.443,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/u2knuo2u/lan/en,,,,,,,,
Cardinal Health Inc,CAH US,7/30/2015,C,Bef-mkt,ER,Q4 2015,913-312-1448,5598613,719-457-0820,5598613,913-312-1448,5598613,719-457-0820,5598613,,,0.986,,,Q4 2015 Earnings Release,http://ir.cardinalhealth.com/events-and-presentations/event-details/2015/4Q-FY2015-Cardinal-Health-Inc-Earnings-Conference-Call/default.aspx,,,,,,,,
Ensco PLC,ESV US,7/30/2015,C,Bef-mkt,ER,Q2 2015,855-239-3215,,877-344-7529,10066953,412-542-4130,,412-317-0088,10066953,,,1.04,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/tb3eosgm,,,,,,,,
BorgWarner Inc,BWA US,7/30/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.84,,,Q2 2015 Earnings Release,http://www.videonewswire.com/event.asp?id=102556,,,,,,,,
Iron Mountain Inc,IRM US,7/30/2015,C,Bef-mkt,ER,Q2 2015,877.730.0431,75497078,855.859.2056,75497078,973.453.3063,75497078,404.537.3406,75497078,,,0.543,,,Q2 2015 Earnings Release,http://investors.ironmountain.com/company/for-investors/investors-overview/default.aspx,,,,,,,,
CME Group Inc/IL,CME US,7/30/2015,C,Bef-mkt,ER,Q2 2015,800-593-0370,,,,773-681-5843,,,,,,0.896,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/hj3htgso,,,,,,,,
Xcel Energy Inc,XEL US,7/30/2015,C,Bef-mkt,ER,Q2 2015,877-723-9520,5079681,888-203-1112,5079681,719-325-4744,5079681,719-457-0820,5079681,,,0.414,,,Q2 2015 Earnings Release,http://www.snl.com/IRW/event/4025308,,,,,,,,
Marathon Petroleum Corp,MPC US,7/30/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.644,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/ukuibfkg/lan/en,,,,,,,,
Delphi Automotive PLC,DLPH US,7/30/2015,C,Bef-mkt,ER,Q2 2015,888.486.0553,75261541,,,1.706.634.4982,75261541,,,,,1.347,,1.32,Q2 2015 Earnings Release,http://investor.delphi.com/investors/events-presentations/event-calendar/default.aspx,,,,,,,,
Allegion PLC,ALLE US,7/30/2015,C,Bef-mkt,ER,Q2 2015,866-516-0797,70554707,,,708-290-1138,70554707,,,,,0.701,,,Q2 2015 Earnings Release,http://investor.allegion.com/,,,,,,,,
Cigna Corp,CI US,7/30/2015,C,6:30,ER,Q2 2015,,,,,,,,,,,2.236,,,Q2 2015 Earnings Release,,,,,,,,,
Leggett & Platt Inc,LEG US,7/30/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,0.537,,,Q2 2015 Earnings Release,,,,,,,,,
KLA-Tencor Corp,KLAC US,7/30/2015,C,Aft-mkt,ER,Q4 2015,,,,,,,,,,,0.916,,0.9,Q4 2015 Earnings Release,http://edge.media-server.com/m/p/39yncjtx,,,,,,,,
Essex Property Trust Inc,ESS US,7/30/2015,C,Aft-mkt,ER,Q2 2015,(877) 591-4953,,(877) 870-5176,7087262,(719) 325-4763,,,,,,2.33,,2.31,Q2 2015 Earnings Release,http://investors.essexapartmenthomes.com/,,,,,,,,
Apartment Investment & Management Co,AIV US,7/30/2015,C,Aft-mkt,ER,Q2 2015,888-317-6003,3442231,877-344-7529,10068515,412-317-6061,3442231,412-317-0088,10068515,,,0.536,,0.51,Q2 2015 Earnings Release,http://78449.choruscall.com/dataconf/productusers/aiv/mediaframe/12141/indexr.html,,,,,,,,
Western Union Co/The,WU US,7/30/2015,C,Aft-mkt,ER,Q2 2015,(888) 317-6003,5762800,(877) 344-7529,10068122,(412) 317-6061,5762800,(412) 317-0088,10068122,,,0.393,,,Q2 2015 Earnings Release,http://ir.westernunion.com/investor-relations/default.aspx,,,,,,,,
Fluor Corp,FLR US,7/30/2015,C,Aft-mkt,ER,Q2 2015,877-723-9509,9523230,888-203-1112,9523230,719-325-4752,9523230,719-457-0820,9523230,,,1.061,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/7oi6jw9n/lan/en,,,,,,,,
Colgate-Palmolive Co,CL US,7/30/2015,C,,ER,Q2 2015,(888) 726-2418,3658720,888 203-1112,3658720,(913) 312-1502,3658720,(719) 457-0820,3658720,,,0.704,,,Q2 2015 Earnings Release,http://investor.colgate.com/events.cfm,,,,,,,,
FMC Corp,FMC US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.7,,,Q2 2015 Earnings Release,,,,,,,,,
Goodyear Tire & Rubber Co/The,GT US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.759,,,Q2 2015 Earnings Release,,,,,,,,,
Edison International,EIX US,7/30/2015,C,,ER,Q2 2015,800-369-2198,Edison,888-567-0459,85749,773-756-4618,Edison,402-998-1812,85749,,,0.75,,,Q2 2015 Earnings Release,http://www.edison.com/home/investors.html,,,,,,,,
Southern Co/The,SO US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.673,,0.69,Q2 2015 Earnings Release,,,,,,,,,
Tesoro Corp,TSO US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,2.999,,,Q2 2015 Earnings Release,,,,,,,,,
Western Digital Corp,WDC US,7/30/2015,E,,ER,Q4 2015,,,,,,,,,,,1.568,,1.55,Q4 2015 Earnings Release,,,,,,,,,
Williams Cos Inc/The,WMB US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.242,,,Q2 2015 Earnings Release,,,,,,,,,
WEC Energy Group Inc,WEC US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.572,,0.55,Q2 2015 Earnings Release,,,,,,,,,
Health Care REIT Inc,HCN US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,1.076,,,Q2 2015 Earnings Release,,,,,,,,,
Lam Research Corp,LRCX US,7/30/2015,E,,ER,Q4 2015,,,,,,,,,,,1.474,,1.46,Q4 2015 Earnings Release,,,,,,,,,
Rockwell Automation Inc,ROK US,7/30/2015,E,,ER,Q3 2015,,,,,,,,,,,1.542,,,Q3 2015 Earnings Release,,,,,,,,,
Valero Energy Corp,VLO US,7/30/2015,C,,ER,Q2 2015,888-771-4371,40041575,888-843-7419,40041575,847-585-4405,40041575,630-652-3042,40041575,,,1.956,,,Q2 2015 Earnings Release,http://www.valero.com/InvestorRelations/Pages/EventsPresentations.aspx,,,,,,,,
Sealed Air Corp,SEE US,7/30/2015,C,,ER,Q2 2015,,,,,,,,,,,0.526,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/r5qj7uyc/lan/en,,,,,,,,
Garmin Ltd,GRMN US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.908,,,Q2 2015 Earnings Release,,,,,,,,,
Zimmer Biomet Holdings Inc,ZBH US,7/30/2015,C,,ER,Q2 2015,,,,,,,,,,,1.566,,1.565,Q2 2015 Earnings Release,,,,,,,,,
Equinix Inc,EQIX US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,2.971,,,Q2 2015 Earnings Release,,,,,,,,,
Hospira Inc,HSP US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.835,,,Q2 2015 Earnings Release,,,,,,,,,
Expedia Inc,EXPE US,7/30/2015,T,,ER,Q2 2015,,,,,,,,,,,0.871,,,Q2 2015 Earnings Release,,,,,,,,,
Kraft Foods Group Inc,KRFT US,7/30/2015,E,,ER,Q2 2015,,,,,,,,,,,0.847,,,Q2 2015 Earnings Release,,,,,,,,,
ADT Corp/The,ADT US,7/30/2015,E,,ER,Q3 2015,,,,,,,,,,,0.507,,,Q3 2015 Earnings Release,,,,,,,,,
Exxon Mobil Corp,XOM US,7/31/2015,C,Bef-mkt,ER,Q2 2015,(888) 221-9508,8076198,(888) 203-1112,8076198,(913) 312-1507,8076198,(719) 457-0820,8076198,,,0.982,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/drh9c7u3/lan/en,,,,,,,,
Tyco International Plc,TYC US,7/31/2015,C,Bef-mkt,ER,Q3 2015,800 857 9797,Tyco,866 353 3070,4999,517 308 9029,Tyco,203 369 0090,4999,,,0.56,,0.56,Q3 2015 Earnings Release,http://investors.tyco.com/phoenix.zhtml?c=112348&p=irol-eventDetails&EventId=5196761,,,,,,,,
Weyerhaeuser Co,WY US,7/31/2015,C,Bef-mkt,ER,Q2 2015,877-296-9413,28347567,855-859-2056,28347567,706-679-2458,28347567,404-537-3406,28347567,,,0.225,,,Q2 2015 Earnings Release,http://investor.weyerhaeuser.com/,,,,,,,,
Public Service Enterprise Group Inc,PEG US,7/31/2015,C,7:30,ER,Q2 2015,877-370-7635,72301059,855-859-2056,72301059,,,,,,,0.552,,,Q2 2015 Earnings Release,http://investor.pseg.com/events-calendar,,,,,,,,
Phillips 66,PSX US,7/31/2015,C,8:00,ER,Q2 2015,,,,,,,,,,,1.808,,,Q2 2015 Earnings Release,http://investor.phillips66.com/investors/events-and-presentations/default.aspx,,,,,,,,
Apache Corp,APA US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,-0.392,,,Q2 2015 Earnings Release,,,,,,,,,
Berkshire Hathaway Inc,BRK/A US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,3034.83,,,Q2 2015 Earnings Release,,,,,,,,,
Chevron Corp,CVX US,7/31/2015,C,,ER,Q2 2015,(866) 219-5256,1658696,(888) 266-2081,1658696,(703) 639-1116,1658696,(703) 925-2533,1658696,,,1.011,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/r7e82d8y/lan/en,,,,,,,,
Clorox Co/The,CLX US,7/31/2015,E,,ER,Q4 2015,,,,,,,,,,,1.37,,,Q4 2015 Earnings Release,,,,,,,,,
PerkinElmer Inc,PKI US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.591,,0.58,Q2 2015 Earnings Release,,,,,,,,,
Helmerich & Payne Inc,HP US,7/31/2015,E,,ER,Q3 2015,,,,,,,,,,,0.184,,,Q3 2015 Earnings Release,,,,,,,,,
Legg Mason Inc,LM US,7/31/2015,E,,ER,Q1 2016,,,,,,,,,,,0.854,,,Q1 2016 Earnings Release,,,,,,,,,
Newell Rubbermaid Inc,NWL US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.622,,,Q2 2015 Earnings Release,,,,,,,,,
NiSource Inc,NI US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.263,,,Q2 2015 Earnings Release,,,,,,,,,
Eversource Energy,ES US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.554,,,Q2 2015 Earnings Release,,,,,,,,,
Occidental Petroleum Corp,OXY US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.258,,,Q2 2015 Earnings Release,,,,,,,,,
PPL Corp,PPL US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.458,,,Q2 2015 Earnings Release,,,,,,,,,
Exelon Corp,EXC US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.518,,0.5,Q2 2015 Earnings Release,,,,,,,,,
ConocoPhillips,COP US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.048,,,Q2 2015 Earnings Release,,,,,,,,,
TECO Energy Inc,TE US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.276,,,Q2 2015 Earnings Release,,,,,,,,,
Mohawk Industries Inc,MHK US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,2.608,,2.555,Q2 2015 Earnings Release,,,,,,,,,
Pentair PLC,PNR US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.95,,0.955,Q2 2015 Earnings Release,,,,,,,,,
DENTSPLY International Inc,XRAY US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.684,,,Q2 2015 Earnings Release,,,,,,,,,
Invesco Ltd,IVZ US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.617,,,Q2 2015 Earnings Release,,,,,,,,,
Microchip Technology Inc,MCHP US,7/31/2015,E,,ER,Q1 2016,,,,,,,,,,,0.711,,0.71,Q1 2016 Earnings Release,,,,,,,,,
McKesson Corp,MCK US,7/31/2015,E,,ER,Q1 2016,,,,,,,,,,,2.899,,,Q1 2016 Earnings Release,,,,,,,,,
DaVita HealthCare Partners Inc,DVA US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.973,,,Q2 2015 Earnings Release,,,,,,,,,
L-3 Communications Holdings Inc,LLL US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,1.715,,,Q2 2015 Earnings Release,,,,,,,,,
Quanta Services Inc,PWR US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.453,,0.45,Q2 2015 Earnings Release,,,,,,,,,
Time Warner Cable Inc,TWC US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,1.81,,,Q2 2015 Earnings Release,,,,,,,,,
Endo International PLC,ENDP US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,1.022,,,Q2 2015 Earnings Release,,,,,,,,,
Pepco Holdings Inc,POM US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.303,,,Q2 2015 Earnings Release,,,,,,,,,
DIRECTV,DTV US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,1.608,,,Q2 2015 Earnings Release,,,,,,,,,
Mosaic Co/The,MOS US,7/31/2015,E,,ER,Q2 2015,,,,,,,,,,,0.898,,,Q2 2015 Earnings Release,,,,,,,,,
Public Storage,PSA US,8/2/2015,E,,ER,Q2 2015,,,,,,,,,,,2.136,,,Q2 2015 Earnings Release,,,,,,,,,
Noble Energy Inc,NBL US,8/3/2015,C,Bef-mkt,ER,Q2 2015,888-317-6003,9646671,,,412-317-6061,9646671,,,,,0.031,,,Q2 2015 Earnings Release,http://www.videonewswire.com/event.asp?id=102576,,,,,,,,
American International Group Inc,AIG US,8/3/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,1.212,,,Q2 2015 Earnings Release,http://www.tataaiginsurance.in/about-us/tata-aig/,,,,,,,,
Tenet Healthcare Corp,THC US,8/3/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,0.446,,0.395,Q2 2015 Earnings Release,,,,,,,,,
Vornado Realty Trust,VNO US,8/3/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,1.245,,,Q2 2015 Earnings Release,http://www.vno.com/investor-relations,,,,,,,,
General Growth Properties Inc,GGP US,8/3/2015,C,Aft-mkt,ER,Q2 2015,877.845.1018,,855.859.2056,62940731,707.287.9345,,404.537.3406,62940731,,,0.328,,0.32,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/xugft4gt,,,,,,,,
Allstate Corp/The,ALL US,8/3/2015,C,Aft-mkt,ER,Q2 2015,(866) 793-1308,,(888) 266-2081,#1643799,(703) 639-1310,,(703) 925-2533,#1643799,,,1.155,,,Q2 2015 Earnings Release,http://www.allstateinvestors.com/phoenix.zhtml?c=93125&p=irol-irhome,,,,,,,,
Loews Corp,L US,8/3/2015,C,,ER,Q2 2015,(877) 692-2592,74859424,(800) 585-8367,74859424,(973) 582-2757,74859424,(404) 537-3406,74859424,,,0.66,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/pjk93qdn/lan/en,,,,,,,,
Tyson Foods Inc,TSN US,8/3/2015,C,,ER,Q3 2015,,,,,,,,,,,0.925,,,Q3 2015 Earnings Release,http://event.on24.com/r.htm?e=1017094&s=1&k=376AE73C851B960D98D82E5749878BC0,,,,,,,,
Diamond Offshore Drilling Inc,DO US,8/3/2015,C,,ER,Q2 2015,800-247-9979,77534754,,,973-321-1100,77534754,,,,,0.438,,,Q2 2015 Earnings Release,http://investor.diamondoffshore.com/phoenix.zhtml?c=78110&p=irol-irhome,,,,,,,,
Entergy Corp,ETR US,8/4/2015,C,Bef-mkt,ER,Q2 2015,855-893-9849,44024303,855-859-2056,44024303,,,,,,,1.139,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/d2epdpv3,,,,,,,,
Zoetis Inc,ZTS US,8/4/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.373,,,Q2 2015 Earnings Release,https://event.webcasts.com/starthere.jsp?ei=1068968,,,,,,,,
Walt Disney Co/The,DIS US,8/4/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,1.421,,,Q3 2015 Earnings Release,http://thewaltdisneycompany.com/investors/events,,,,,,,,
ONEOK Inc,OKE US,8/4/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,0.354,,,Q2 2015 Earnings Release,,,,,,,,,
Newfield Exploration Co,NFX US,8/4/2015,C,Aft-mkt,ER,Q2 2015,(913) 312-0671,1066976,,,(913) 312-0671,1066976,,,,,0.147,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=63798&p=irol-irhome,,,,,,,,
Pioneer Natural Resources Co,PXD US,8/4/2015,C,Aft-mkt,ER,Q2 2015,(877) 879-6174,3672639,(888) 203-1112,3672639,,,,,,,0.04,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/dsrtfy8t/lan/en,,,,,,,,
Cimarex Energy Co,XEC US,8/4/2015,C,Aft-mkt,ER,Q2 2015,866-367-3053,,877-344-7529,10068474,412-902-4216,,412-317-0088,10068474,,,-0.121,,,Q2 2015 Earnings Release,http://cimarex.investorroom.com/,,,,,,,,
Archer-Daniels-Midland Co,ADM US,8/4/2015,C,,ER,Q2 2015,,,,,,,,,,,0.743,,,Q2 2015 Earnings Release,,,,,,,,,
Emerson Electric Co,EMR US,8/4/2015,C,,ER,Q3 2015,,,,,,,,,,,0.85,,,Q3 2015 Earnings Release,emerson.com/financial,,,,,,,,
Kellogg Co,K US,8/4/2015,C,,ER,Q2 2015,,,,,,,,,,,0.915,,,Q2 2015 Earnings Release,,,,,,,,,
Expeditors International of Washington Inc,EXPD US,8/4/2015,C,,ER,Q2 2015,,,,,,,,,,,0.54,,,Q2 2015 Earnings Release,,,,,,,,,
Henry Schein Inc,HSIC US,8/4/2015,E,,ER,Q2 2015,,,,,,,,,,,1.462,,,Q2 2015 Earnings Release,,,,,,,,,
Aetna Inc,AET US,8/4/2015,C,,ER,Q2 2015,,,,,,,,,,,1.82,,,Q2 2015 Earnings Release,,,,,,,,,
Coach Inc,COH US,8/4/2015,C,,ER,Q4 2015,,,,,,,,,,,0.297,,,Q4 2015 Earnings Release,,,,,,,,,
Michael Kors Holdings Ltd,KORS US,8/4/2015,E,,ER,Q1 2016,,,,,,,,,,,0.762,,0.76,Q1 2016 Earnings Release,,,,,,,,,
Time Warner Inc,TWX US,8/5/2015,C,Bef-mkt,ER,Q2 2015,(877) 376-9405,77167923,(855) 859-2056,77167923,(330) 863-3351,77167923,(404) 537-3406,77167923,,,1.028,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/hn8poro4/lan/en,,,,,,,,
Discovery Communications Inc,DISCA US,8/5/2015,C,7:00,ER,Q2 2015,800-901-5213,DISCA,888-286-8010,34298566,617-786-2962,DISCA,617-801-6888,34298566,,,0.514,,,Q2 2015 Earnings Release,http://ir.corporate.discovery.com/phoenix.zhtml?c=222412&p=irol-irhome,,,,,,,,
CenturyLink Inc,CTL US,8/5/2015,C,Aft-mkt,ER,Q2 2015,866.814.8485,,888.266.2081,1659105,,,,,,,0.607,,0.615,Q2 2015 Earnings Release,http://ir.centurylink.com/CorporateProfile.aspx?iid=4057179,,,,,,,,
